Mask Mandate,Social Distancing,Mobility Level,Population Density,Cases Per Capita,Current Phase,Future Phase,support,confidence,lift,chi_squared
,,,1,,,Phase 2,0.3419047619047619,0.4070294784580499,1.0056022408963585,0.11764705882352856
,,,1,,Phase 2,Phase 2,0.2619047619047619,0.7513661202185793,1.8563162970106077,280.15063695883885
M,,,1,,,Phase 2,0.1361904761904762,0.3994413407821229,0.9868550772264213,0.06382505855379256
M,,,1,,Phase 2,Phase 2,0.12,0.7924528301886792,1.9578246392896779,116.89330597876655
N,,,1,,,Phase 2,0.15333333333333332,0.43869209809264303,1.083827536464177,2.6959819413940127
N,,,1,,Phase 2,Phase 2,0.09428571428571429,0.7226277372262775,1.7853155860884502,66.07488794320108
N,,,1,,Phase 1,Phase 1,0.07333333333333333,0.5703703703703704,1.8656974731741087,51.12246395081671
,,,1,,Phase 1,Phase 2,0.06,0.21649484536082475,0.5348696179502729,59.224150700987785
N,,,1,,Phase 1,Phase 2,0.05523809523809524,0.4296296296296297,1.0614379084967323,0.397634201221475
M,,,1,,Phase 1,Phase 2,0.0038095238095238095,0.03389830508474576,0.08374875373878365,75.89155708839147
,,,1,,Phase 1,Phase 1,0.21714285714285714,0.7835051546391752,2.5628673282589847,432.97442180701444
M,,,1,,Phase 1,Phase 1,0.10857142857142857,0.9661016949152542,3.1601457310312053,273.1486135464788
,Phase 0,,1,,,Phase 2,0.08857142857142856,0.45588235294117646,1.1262975778546713,2.7463005227122155
N,Phase 0,,1,,,Phase 2,0.06666666666666667,0.4666666666666667,1.1529411764705881,2.7835294117647025
,Phase 0,,1,,Phase 1,Phase 2,0.03428571428571429,0.4675324675324676,1.1550802139037435,1.358904320393955
N,Phase 0,,1,,Phase 1,Phase 2,0.03428571428571429,0.5806451612903226,1.4345351043643264,8.460240149344315
,Phase 0,,1,,Phase 2,Phase 2,0.049523809523809526,0.7536231884057971,1.8618925831202047,37.306506487716746
N,Phase 0,,1,,Phase 2,Phase 2,0.03238095238095238,0.693877551020408,1.714285714285714,17.83216783216782
M,Phase 0,,1,,,Phase 2,0.017142857142857144,0.4285714285714286,1.0588235294117647,0.10294117647058827
M,Phase 0,,1,,Phase 2,Phase 2,0.012380952380952381,0.8666666666666667,2.1411764705882352,13.475805626598467
